"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","PIB par habitant (monnaies locales courantes)","NY.GDP.PCAP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","11246.5725837684","13545.3840186191","16601.3803394889","19273.6392346275","20833.3333333333","23001.8861251916","24447.2304536129","26796.5726920951","29848.7484941775","30681.3757300454","31101.6532984122","33497.0314446969","35338.7469622429","35502.5498750964","37631.4519477896","37434.8060998335","38265.0003813425","39470.9873679896","43147.3166559761","44706.4551294942","46241.8676652093","49521.1133726637","51930.6910486142","46073.0556787485","43770.7417705624","46619.5403206698","45841.8207458477","47463.0637636081","48226.7312778732","50874.2818228033","50927.7800026699","52494.8074241979","55344.1422396708","57105.945021702","43833.2757892762","52522.3603067479","",
"","AFE","PIB par habitant (monnaies locales courantes)","NY.GDP.PCAP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","PIB par habitant (monnaies locales courantes)","NY.GDP.PCAP.CN","2806.62185272751","2809.96665582118","2742.76637194565","3690.97819101684","3847.9983034604","4735.94380724102","6439.64549444059","7522.45535727665","6030.57457322464","6041.26618266025","7318.89789342871","7480.11740711594","6361.43950346038","6738.48308100737","8171.94492041579","8760.1066298298","9255.33435217126","10475.041444985","11477.0529973965","12443.8167358405","12861.7557850472","15436.7540415026","","","","","","","","","","","","","","","","","","","","","8674.30955603589","9775.10674480562","10605.2773401344","12623.8505036481","13679.5649355672","18739.6600996915","19489.2715872007","22336.5072007409","25762.311909837","29072.5396085774","33768.0708066068","36105.4578250314","35959.8341556067","36226.0663820364","35307.4711991414","36064.4516892291","36189.8822938527","38909.6054279142","39702.3477383768","30745.0073245372","",
"","AFW","PIB par habitant (monnaies locales courantes)","NY.GDP.PCAP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","PIB par habitant (monnaies locales courantes)","NY.GDP.PCAP.CN","","","","","","","","","","","","","","","","","","","","","2.12998559011732E-05","1.92388552094971E-05","1.85600235102746E-05","1.8654888192545E-05","1.90733161622184E-05","2.26668458203356E-05","2.0478550194753E-05","2.26171836011347E-05","2.37224036982491E-05","2.66809682785031E-05","2.840264852978E-05","5.7242430935576E-05","0.000300811232481407","0.00225490038172242","0.0503712998432406","1.07928600780909","58.0875109067081","117.797579285416","166.318905405813","1081.92724062935","5591.42084493764","11634.7305597758","37986.9673333832","73323.4894817147","104819.02389974","165665.45639215","208793.324584349","239426.621655306","306264.954575341","247797.306820776","329634.9091569","432865.903453758","485342.555183972","504646.918985205","528003.577956142","495962.363961161","567645.658789138","670745.324812501","819470.636720194","937467.244745776","948316.085867604","1290805.11598528","1499765.7977059",
"Albanie","ALB","PIB par habitant (monnaies locales courantes)","NY.GDP.PCAP.CN","","","","","","","","","","","","","","","","","","","","","5610.77351509002","5691.06430682275","5735.33964640025","5676.07139340919","5486.77898478496","5490.04945422263","5550.9877970711","5398.34706455593","5222.19457117253","5583.96477261216","4937.84348412404","4846.85272086666","15070.4441800668","37485.4359094806","55488.6492310609","69579.1559277542","105541.51424559","105239.65300429","123012.405187101","142690.793617299","162251.414442153","184123.250548253","200095.706012107","222968.295995284","243697.01536767","267031.868309576","291636.188170144","325091.74189912","366664.698773188","390752.715866234","425553.059864656","447689.053574717","459526.458582796","466324.731649288","482954.230792661","497901.727460276","511970.546236033","539644.576515326","571010.085243527","592778.629671245","580521.046539122","660168.064450045","769000.360818465",
"Andorre","AND","PIB par habitant (monnaies locales courantes)","NY.GDP.PCAP.CN","","","","","","","","","","","1665.41289023162","1750.70818872526","1918.7806587246","2165.26052556061","2487.40145367842","2747.60853835022","3119.74124394074","3746.81572910272","4357.17136366427","4862.94593169703","5401.72137822583","5835.37999837781","6430.49121716151","6989.93124258013","7560.61496882483","8088.89041064621","8895.95219822388","9523.62548546237","10171.7948201555","10959.9759871415","11767.9086785268","12470.2691488978","12997.2487474469","13021.0629521942","13421.8392122811","14037.4237223494","14525.8484418601","16062.0512661946","16693.6780903875","17725.1983855","23466.8744421078","25489.3836626364","26335.3046620277","28312.4737846212","30306.5004614405","31830.2307518854","34344.2490121041","36943.122505373","36674.2488988232","35812.7064940692","36386.2749758805","36946.7314750521","34949.2346471773","33692.6030238065","34385.0267379679","35047.3894014997","36074.717397298","35967.8751845281","36330.6360230893","36917.8575638893","32575.1608751609","35566.9711769618","39931.5995189417",
"Le monde arabe","ARB","PIB par habitant (monnaies locales courantes)","NY.GDP.PCAP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Émirats arabes unis","ARE","PIB par habitant (monnaies locales courantes)","NY.GDP.PCAP.CN","","","","","","","","","","","","","","","","107312.557738952","123663.048274357","137342.419513879","114303.845728741","131153.87494331","159398.766133359","164612.154374739","146552.314668932","126967.158274428","117307.470357272","108047.923359738","84841.8700385444","84756.7975054397","79093.3674490595","84950.6652379677","97952.741650532","94229.0389831023","94088.0272522234","91846.1159258106","93476.4948751065","99156.1996197188","104977.776568516","105391.645445809","95139.2098263343","100119.351890502","116989.325970825","109840.837149463","110990.173805714","119750.577103158","135947.636802185","154944.810958579","166509.626340643","161290.251172219","165779.474436178","116501.207235053","125474.31661383","150179.62828877","163010.471878203","167941.984189166","172115.254985004","152501.072626257","150772.796570436","158152.42056501","171587.531871675","166643.987406392","138193.14213222","162748.872740358","197425.752788676",
"Argentine","ARG","PIB par habitant (monnaies locales courantes)","NY.GDP.PCAP.CN","6.46243592056981E-09","8.06585699203985E-09","1.01394998962672E-08","1.18643838235103E-08","1.65590580310825E-08","2.18494340599504E-08","2.68373372391591E-08","3.51746496486753E-08","4.00333643173783E-08","4.66073890632714E-08","5.03380396046555E-08","6.8721212552551E-08","1.12894132693753E-07","1.89002753940075E-07","2.56163969113415E-07","7.49831168123988E-07","3.89265867161359E-06","1.0627661034118E-05","2.61035830109945E-05","7.00453389111291E-05","0.000137035750163882","0.000262520634551619","0.000755546790448298","0.00372704801015838","0.0265122947532158","0.175157010678337","0.324703855422894","0.747435975509453","3.50455110115266","100.8538063729","2111.73244942184","5464.24515272462","6751.55147783093","6950.46008139361","7464.4747368819","7383.70450960064","7690.15700254783","8176.77119517435","8250.67317414321","7735.32208018486","7666.51783423783","7168.97587232911","8250.75277758802","9820.46840073103","12545.3917598055","14909.9232922557","18134.786680427","22494.173870165","28545.7785339137","30673.4564268933","40739.9840807887","52810.1167359686","63208.8926890011","79338.285078988","107315.211694536","138053.315160733","188760.95646864","242031.427829262","331385.002967333","479729.907461522","599330.961820701","1010332.50266592","1787618.55193248",
"Arménie","ARM","PIB par habitant (monnaies locales courantes)","NY.GDP.PCAP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.1457748670829","22.0282278651416","86.7772352082986","1220.12848572707","55447.8131660873","157174.31682247","200433.303030285","245867.38637496","294821.862831927","307995.774057011","325494.970369475","375303.825276488","438794.030473711","526779.82116026","622343.149870586","736035.390644536","877648.137146513","1048226.18079592","1196018.79855374","1059830.39480538","1174425.86327972","1289852.01654093","1463913.58695261","1570159.83745694","1670845.41840114","1752116.29284425","1768173.49917214","1951137.28526331","2121246.00351764","2319831.65295919","2203409.24320147","2501980.49139834","3055879.38581585",
"Samoa américaines","ASM","PIB par habitant (monnaies locales courantes)","NY.GDP.PCAP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8800.72881035461","9043.68236654528","8832.81851941832","8733.01428721137","8673.92719531291","9187.16634446553","10019.502245442","12191.5977314597","10446.8632062572","10495.3047320935","11920.0610903131","12038.8715916596","12313.9973571825","13101.5418159165","13300.8246114811","12372.8847825647","13195.9358995539","13672.576657298","15501.5263374397","15743.3107582991","",
