"country","medianIncome","meanIncome","gdpPerCapitaPPP"
"Luxembourg",26321,31376,124590
"United Arab Emirates",24292,27017,70089
"Norway",22684,25272,70005
"Switzerland",21490,25787,72376
"United States",19306,25332,65297
"Canada",18652,22042,51668
"Austria",18405,20718,60418
"Sweden",17625,20193,56632
"Denmark",17432,20304,62089
"Netherlands",17154,19690,61285
"Australia",17076,21329,53381
"Iceland",17017,19300,60132
"Germany",16845,19730,57530
"France",16372,19409,50992
"Finland",16332,18742,53171
"Belgium",16157,17917,56348
"United Kingdom",14793,18133,49931
"Malta",14543,16509,47578
"Ireland",14520,17938,89683
"Japan",14255,17095,43593
"Taiwan",13605,16355,0
"Italy",13170,15547,45722
"Cyprus",13053,15663,41254
"South Korea",12507,14316,44011
"Slovenia",11878,13056,42431
"Spain",11786,13822,43495
"Israel",10866,13271,42897
"Estonia",10651,12540,39986
"Czech Republic",10046,11394,44295
"Poland",8885,10155,35165
"Portugal",8439,10316,37918
"Lithuania",8267,10479,40016
"Slovakia",7991,8408,33515
"Latvia",7971,9727,33020
"Lebanon",7712,9091,15195
"Hungary",7684,8613,34966
"Uruguay",7533,9888,22515
"Malaysia",7512,10200,29619
"Croatia",7196,8008,31130
"Greece",6936,8131,32506
"Belarus",6507,7359,19997
"Chile",6293,9304,27002
"Panama",6254,9453,32850
"Bosnia and Herzegovina",5925,7131,16288
"Bulgaria",5696,7474,25312
"Russia",5504,7275,29181
"Costa Rica",5457,8440,21737
"Maldives",5409,6435,20395
"Argentina",5319,6935,0
"Seychelles",5314,8044,30516
"Turkey",5251,7267,28133
"Romania",5206,5949,33339
"Brazil",4559,7654,15299
"Saint Lucia",4519,6946,16132
"Ukraine",4434,5010,13341
"Serbia",4416,5252,19495
"Iran",4360,5924,12937
"Thailand",4356,5670,19276
"Paraguay",4334,6373,13246
"Montenegro",4193,5123,24035
"Dominican Republic",4060,5873,19227
"North Macedonia",3857,4279,18107
"Mauritius",3832,4969,23882
"Peru",3678,4977,13416
"Kazakhstan",3661,4313,27517
"Bolivia",3631,4787,9110
"Ecuador",3525,5046,11878
"Tunisia",3366,4076,11231
"Mexico",3315,4929,20944
"Colombia",3259,5201,16012
"Azerbaijan",3193,3851,15041
"Jordan",3185,4025,10517
"Vietnam",3149,3881,8397
"Moldova",3133,3590,13626
"El Salvador",3095,3989,9164
"Jamaica",2899,4429,10193
"Trinidad and Tobago",2868,3711,27334
"Mongolia",2800,3409,12861
"Tonga",2782,3677,6665
"Gabon",2779,3544,15611
"Morocco",2716,3721,7826
"Venezuela",2710,3741,17527
"Nicaragua",2697,3913,5646
"Algeria",2612,2996,12019
"Albania",2578,3141,14648
"Samoa",2537,3418,6795
"Fiji",2460,3261,14289
"Bhutan",2446,3189,12355
"Sri Lanka",2277,3162,13656
"Georgia",2273,2814,15655
"Armenia",2216,2810,14257
"Tuvalu",2099,2802,4470
"Guatemala",2036,3103,9019
"Guyana",2003,2729,13661
"Syria",1996,2606,0
"Tajikistan",1994,2437,3529
"Namibia",1962,4023,10063
"Honduras",1959,3109,5981
"Iraq",1951,2293,11362
"Belize",1927,3246,7314
"Myanmar",1909,2296,5369
"Kyrgyzstan",1892,2235,5485
"Ghana",1779,2422,5652
"Mauritania",1760,2094,5427
"Suriname",1659,2593,17256
"South Africa",1624,4081,13034
"Botswana",1596,2907,18552
"Philippines",1581,2199,9302
"Kiribati",1489,1858,2372
"Egypt",1485,1847,0
"Micronesia",1413,1858,3547
"Djibouti",1403,1869,5779
"Comoros",1401,2050,3194
"Pakistan",1399,1797,4898
"Gambia",1383,1784,2321
"Vanuatu",1379,1781,3292
"Sudan",1277,1592,4122
"Cameroon",1245,1841,3803
"Haiti",1162,1540,3034
"Lesotho",1157,1659,2824
"Nepal",1155,1428,3567
"Yemen",1150,1503,3688
"Bangladesh",1131,1414,4964
"Eswatini",1097,2091,9003
"Laos",1065,1389,8172
"Solomon Islands",1028,1333,2780
"Ivory Coast",987,1358,5443
"Timor-Leste",970,1147,3709
"Zimbabwe",932,1429,2961
"Ethiopia",907,1107,2319
"Sao Tome and Principe",901,1620,4145
"Republic of the Congo",892,1375,3835
"Chad",880,1182,1649
"Papua New Guinea",876,1162,4547
"Kenya",874,1197,4521
"Senegal",844,1137,3545
"Guinea",843,1036,2675
"Nigeria",825,1021,5362
"Uganda",804,1166,2284
"South Sudan",793,1121,1234
"Sierra Leone",765,1004,1794
"Liberia",753,945,1491
"Burkina Faso",748,1002,2274
"Niger",738,937,1278
"Turkmenistan",706,963,15206
"Tanzania",702,992,2770
"Benin",699,989,3432
"Mali",689,861,2424
"Togo",683,964,1667
"Angola",665,1066,6965
"Rwanda",621,925,2325
"Uzbekistan",591,752,7308
"Zambia",545,1045,3624
"Mozambique",529,947,1338
"Central African Republic",491,891,986
"Guinea-Bissau",486,797,2077
"Malawi",484,733,1106
"Burundi",475,640,784
"Madagascar",398,567,1719
"DR Congo",395,548,1146
"India",0,1314,6996
"China",0,4246,16829
